Winner,win_by,last_round,last_round_time,date_time,R_fighter,B_fighter,R_current_lose_streak,B_current_lose_streak,R_current_win_streak,B_current_win_streak,R_wins,B_wins,R_age,B_age,R_total_title_bouts,B_total_title_bouts,R_win_by_KO/TKO,B_win_by_KO/TKO,R_KD,B_KD,R_SIG_STR._landed,R_SIG_STR._attempted,B_SIG_STR._landed,B_SIG_STR._attempted,R_TOTAL_STR._landed,R_TOTAL_STR._attempted,B_TOTAL_STR._landed,B_TOTAL_STR._attempted,R_TD_landed,R_TD_attempted,B_TD_landed,B_TD_attempted,R_total_no._fights,B_total_no._fights,R_SIG_STR._attempted_total,R_SIG_STR._landed_total,R_TOTAL_STR._attempted_total,R_TOTAL_STR._landed_total,R_TD_attempted_total,R_TD_landed_total,B_SIG_STR._attempted_total,B_SIG_STR._landed_total,B_TOTAL_STR._attempted_total,B_TOTAL_STR._landed_total,B_TD_attempted_total,B_TD_landed_total,fight_time,R_fight_time_total,B_fight_time_total,R_SIG_STR._faced_total,B_SIG_STR._faced_total,R_SIG_STR._defended_total,B_SIG_STR._defended_total,R_TOTAL_STR._faced_total,B_TOTAL_STR._faced_total,R_TOTAL_STR._defended_total,B_TOTAL_STR._defended_total,R_TD_faced_total,B_TD_faced_total,R_TD_defended_total,B_TD_defended_total,R_KD_total,B_KD_total,R_finish,B_finish,R_finish_total,B_finish_total,R_SIG_STR._probability,R_SIG_STR._defence_probability,R_SIG_STR._rate,R_TOTAL_STR._probability,R_TOTAL_STR._defence_probability,R_TOTAL_STR._rate,R_TD_probability,R_TD_defence_probability,R_TD_rate,R_KD_rate,R_win_probability,R_finish_rate,B_SIG_STR._probability,B_SIG_STR._defence_probability,B_SIG_STR._rate,B_TOTAL_STR._probability,B_TOTAL_STR._defence_probability,B_TOTAL_STR._rate,B_TD_probability,B_TD_defence_probability,B_TD_rate,B_KD_rate,B_win_probability,B_finish_rate
0.0,KO/TKO,1,199,2010-03-21,Brandon Vera,Jon Jones,1.0,1.0,0.0,0.0,7.0,3.0,32.0,22.0,0.0,0.0,4.0,0.0,0,0,5,8,11,17,7,11,26,33,0,0,2,3,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,,,,,,,,,,,0.6363636363636364,,,,,,,,,,,,0.75,
1.0,KO/TKO,1,233,2010-03-21,Junior Dos Santos,Gabriel Gonzaga,0.0,0.0,4.0,1.0,4.0,7.0,26.0,30.0,0.0,1.0,4.0,5.0,1,0,20,35,9,19,20,35,9,19,0,0,1,1,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.7,
1.0,KO/TKO,3,76,2010-03-21,Cheick Kongo,Paul Buentello,2.0,1.0,0.0,0.0,7.0,3.0,34.0,36.0,0.0,1.0,4.0,2.0,0,0,53,94,3,29,137,187,5,31,9,9,0,0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.6363636363636364,,,,,,,,,,,,0.6,
1.0,KO/TKO,1,181,2010-03-21,Alessio Sakara,James Irvin,0.0,1.0,2.0,0.0,5.0,4.0,28.0,31.0,0.0,0.0,3.0,3.0,1,0,13,29,6,16,13,29,6,16,0,0,0,0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,
1.0,Submission,2,220,2010-03-21,Clay Guida,Shannon Gugerty,2.0,1.0,0.0,0.0,5.0,2.0,28.0,28.0,0.0,0.0,1.0,0.0,0,0,14,33,1,7,72,102,6,12,2,2,0,1,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,
1.0,Decision - Unanimous,3,300,2010-03-21,Mike Pierce,Julio Paulino,1.0,0.0,0.0,0.0,1.0,0.0,29.0,34.0,0.0,0.0,0.0,0.0,0,0,39,76,17,62,90,131,31,76,6,10,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.5,,,,,,,,,,,,,
0.0,KO/TKO,1,44,2010-03-21,Duane Ludwig,Darren Elkins,1.0,0.0,0.0,0.0,2.0,0.0,31.0,25.0,0.0,0.0,1.0,0.0,0,0,1,5,0,2,1,5,0,2,0,0,1,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,
1.0,KO/TKO,1,121,2010-03-21,John Howard,Daniel Roberts,0.0,0.0,3.0,0.0,3.0,0.0,27.0,29.0,0.0,0.0,1.0,0.0,0,0,6,8,7,17,8,11,21,33,1,1,1,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
1.0,KO/TKO,1,47,2010-03-21,Brendan Schaub,Chase Gormley,1.0,1.0,0.0,0.0,0.0,0.0,27.0,,1.0,0.0,0.0,0.0,1,0,25,36,2,6,30,41,2,6,0,0,0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,
0.0,Decision - Unanimous,3,300,2010-03-21,Eric Schafer,Jason Brilz,1.0,1.0,0.0,0.0,3.0,2.0,32.0,34.0,0.0,0.0,1.0,1.0,0,0,27,81,70,145,52,107,130,206,2,3,3,6,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.5,,,,,,,,,,,,0.6666666666666666,
